UDI,machine_id,timestamp,Product ID,Type,Air temperature [K],Process temperature [K],temp_diff,Rotational speed [rpm],Torque [Nm],power_w,Tool wear [min],Machine failure,failure_type,is_rnf_only
107,7,2026-01-01 08:25:00,L47286,L,298.8,308.7,9.899999999999977,1445,48.5,7339.022238173556,70,0,NoFailure,False
108,8,2026-01-01 08:25:00,M14967,M,298.8,308.8,10.0,1497,46.8,7336.624155781315,72,0,NoFailure,False
109,9,2026-01-01 08:25:00,H29522,H,298.9,308.8,9.900000000000034,1621,32.7,5550.848643701271,75,0,NoFailure,False
110,10,2026-01-01 08:25:00,L47289,L,298.9,308.7,9.800000000000011,1572,34.1,5613.523417140386,80,0,NoFailure,False
111,11,2026-01-01 08:25:00,L47290,L,298.8,308.6,9.800000000000011,1872,22.5,4410.79608564007,82,0,NoFailure,False
112,12,2026-01-01 08:25:00,H29525,H,298.7,308.6,9.900000000000034,1499,43.5,6828.408712210095,84,0,NoFailure,False
113,13,2026-01-01 08:25:00,M14972,M,298.8,308.7,9.899999999999977,1498,39.5,6196.3726301853885,89,0,NoFailure,False
114,14,2026-01-01 08:25:00,M14973,M,298.8,308.6,9.800000000000011,1486,41.9,6520.208000917424,92,0,NoFailure,False
115,15,2026-01-01 08:25:00,L47294,L,298.8,308.6,9.800000000000011,1680,29.4,5172.318144870235,95,0,NoFailure,False
116,16,2026-01-01 08:25:00,L47295,L,298.8,308.6,9.800000000000011,1431,45.7,6848.326409633855,97,0,NoFailure,False
117,17,2026-01-01 08:25:00,L47296,L,298.9,308.7,9.800000000000011,1564,34.1,5584.955867943743,99,0,NoFailure,False
118,18,2026-01-01 08:25:00,L47297,L,298.8,308.6,9.800000000000011,1599,33.0,5525.747318399087,101,0,NoFailure,False
119,19,2026-01-01 08:25:00,M14978,M,298.8,308.6,9.800000000000011,1707,28.1,5023.0610778981845,103,0,NoFailure,False
120,20,2026-01-01 08:25:00,L47299,L,298.7,308.5,9.800000000000011,1467,40.7,6252.491946954015,106,0,NoFailure,False
121,1,2026-01-01 08:30:00,L47300,L,298.9,308.7,9.800000000000011,1433,44.7,6707.834386165318,108,0,NoFailure,False
122,2,2026-01-01 08:30:00,L47301,L,298.9,308.7,9.800000000000011,1558,41.2,6721.919193228914,110,0,NoFailure,False
123,3,2026-01-01 08:30:00,L47302,L,299.0,308.8,9.800000000000011,1310,50.7,6955.171975782444,112,0,NoFailure,False
124,4,2026-01-01 08:30:00,L47303,L,298.9,308.7,9.800000000000011,1546,43.4,7026.318577410739,114,0,NoFailure,False
125,5,2026-01-01 08:30:00,L47304,L,298.9,308.7,9.800000000000011,1727,29.4,5317.019902494581,116,0,NoFailure,False
126,6,2026-01-01 08:30:00,L47305,L,298.9,308.6,9.700000000000045,1560,32.2,5260.28273917075,118,0,NoFailure,False
127,7,2026-01-01 08:30:00,L47306,L,299.0,308.6,9.600000000000023,1329,60.5,8419.939550518684,120,0,NoFailure,False
128,8,2026-01-01 08:30:00,L47307,L,298.9,308.6,9.700000000000045,1413,46.5,6880.559150259685,122,0,NoFailure,False
129,9,2026-01-01 08:30:00,L47308,L,299.0,308.6,9.600000000000023,1587,38.6,6414.9437030711415,124,0,NoFailure,False
130,10,2026-01-01 08:30:00,L47309,L,298.9,308.5,9.600000000000023,1559,34.3,5599.75276934215,126,0,NoFailure,False
131,11,2026-01-01 08:30:00,L47310,L,298.8,308.4,9.599999999999966,1473,41.1,6339.765390870739,128,0,NoFailure,False
132,12,2026-01-01 08:30:00,L47311,L,298.8,308.4,9.599999999999966,1737,27.7,5038.580545606917,130,0,NoFailure,False
133,13,2026-01-01 08:30:00,M14992,M,298.7,308.4,9.699999999999989,1441,43.2,6518.930419904966,132,0,NoFailure,False
134,14,2026-01-01 08:30:00,M14993,M,298.7,308.4,9.699999999999989,1430,49.6,7427.5627911272295,135,0,NoFailure,False
135,15,2026-01-01 08:30:00,L47314,L,298.8,308.4,9.599999999999966,1369,53.0,7598.151272217154,138,0,NoFailure,False
136,16,2026-01-01 08:30:00,M14995,M,298.8,308.5,9.699999999999989,1711,28.5,5106.501778777529,140,0,NoFailure,False
137,17,2026-01-01 08:30:00,H29550,H,298.7,308.5,9.800000000000011,1420,45.7,6795.683788735201,143,0,NoFailure,False
138,18,2026-01-01 08:30:00,L47317,L,298.7,308.6,9.900000000000034,1297,55.3,7510.93018817799,148,0,NoFailure,False
139,19,2026-01-01 08:30:00,H29552,H,298.8,308.6,9.800000000000011,1449,49.4,7495.902903318319,150,0,NoFailure,False
140,20,2026-01-01 08:30:00,L47319,L,298.8,308.6,9.800000000000011,1268,55.8,7409.383441638455,155,0,NoFailure,False
141,1,2026-01-01 08:35:00,L47320,L,298.8,308.6,9.800000000000011,1511,36.1,5712.158954487593,157,0,NoFailure,False
142,2,2026-01-01 08:35:00,L47321,L,298.7,308.5,9.800000000000011,1544,35.2,5691.393027047366,159,0,NoFailure,False
143,3,2026-01-01 08:35:00,M15002,M,298.6,308.4,9.799999999999955,1778,28.2,5250.606633797693,161,0,NoFailure,False
144,4,2026-01-01 08:35:00,H29557,H,298.6,308.4,9.799999999999955,1407,50.5,7440.705120394745,164,0,NoFailure,False
145,5,2026-01-01 08:35:00,M15004,M,298.6,308.4,9.799999999999955,1391,42.4,6176.203605349342,169,0,NoFailure,False
146,6,2026-01-01 08:35:00,L47325,L,298.5,308.4,9.899999999999977,1513,33.6,5323.61724706712,172,0,NoFailure,False
147,7,2026-01-01 08:35:00,H29560,H,298.5,308.4,9.899999999999977,1612,36.1,6093.977653629385,174,0,NoFailure,False
148,8,2026-01-01 08:35:00,L47327,L,298.4,308.4,10.0,1515,40.1,6361.882203152011,179,0,NoFailure,False
149,9,2026-01-01 08:35:00,M15008,M,298.3,308.3,10.0,1379,48.0,6931.61003088052,181,0,NoFailure,False
150,10,2026-01-01 08:35:00,L47329,L,298.4,308.3,9.900000000000034,1473,39.9,6154.662751721228,184,0,NoFailure,False
151,11,2026-01-01 08:35:00,L47330,L,298.4,308.3,9.900000000000034,1422,42.7,6358.52069901267,186,0,NoFailure,False
152,12,2026-01-01 08:35:00,M15011,M,298.4,308.2,9.800000000000011,1463,37.6,5760.508065426342,188,0,NoFailure,False
153,13,2026-01-01 08:35:00,M15012,M,298.4,308.2,9.800000000000011,1584,41.0,6800.919776491184,191,0,NoFailure,False
154,14,2026-01-01 08:35:00,L47333,L,298.4,308.2,9.800000000000011,1850,27.0,5230.751768227006,194,0,NoFailure,False
155,15,2026-01-01 08:35:00,L47334,L,298.4,308.2,9.800000000000011,1528,36.2,5792.426646786813,196,0,NoFailure,False
156,16,2026-01-01 08:35:00,H29569,H,298.4,308.2,9.800000000000011,1987,19.8,4119.9474377707265,198,0,NoFailure,False
157,17,2026-01-01 08:35:00,M15016,M,298.4,308.1,9.700000000000045,1495,46.0,7201.577559579002,203,0,NoFailure,False
158,18,2026-01-01 08:35:00,H29571,H,298.4,308.2,9.800000000000011,1478,43.5,6732.747215908285,206,0,NoFailure,False
159,19,2026-01-01 08:35:00,M15018,M,298.4,308.2,9.800000000000011,1499,40.0,6278.996516974799,211,0,NoFailure,False
160,20,2026-01-01 08:35:00,L47339,L,298.4,308.2,9.800000000000011,1471,47.0,7240.009709707918,214,0,NoFailure,False
161,1,2026-01-01 08:40:00,L47340,L,298.4,308.2,9.800000000000011,1282,60.7,8149.019072048613,216,1,OSF,False
162,2,2026-01-01 08:40:00,L47341,L,298.3,308.1,9.800000000000011,1412,52.3,7733.302588174587,218,1,OSF,False
163,3,2026-01-01 08:40:00,L47342,L,298.3,308.1,9.800000000000011,1586,35.5,5896.036372502204,0,0,NoFailure,False
164,4,2026-01-01 08:40:00,M15023,M,298.4,308.2,9.800000000000011,1468,43.8,6733.312702585932,2,0,NoFailure,False
165,5,2026-01-01 08:40:00,M15024,M,298.5,308.3,9.800000000000011,1440,43.6,6574.725105432719,5,0,NoFailure,False
166,6,2026-01-01 08:40:00,L47345,L,298.5,308.4,9.899999999999977,1733,26.0,4718.4627261816295,8,0,NoFailure,False
167,7,2026-01-01 08:40:00,H29580,H,298.4,308.2,9.800000000000011,1612,32.6,5503.148795244264,10,0,NoFailure,False
168,8,2026-01-01 08:40:00,H29581,H,298.4,308.3,9.900000000000034,1458,42.9,6550.032187175502,15,0,NoFailure,False
169,9,2026-01-01 08:40:00,L47348,L,298.4,308.3,9.900000000000034,1433,62.3,9348.950386087232,20,1,PWF,False
170,10,2026-01-01 08:40:00,L47349,L,298.4,308.3,9.900000000000034,1318,59.1,8157.019661339754,22,0,NoFailure,False
171,11,2026-01-01 08:40:00,M15030,M,298.4,308.2,9.800000000000011,1610,35.0,5900.958200992827,24,0,NoFailure,False
172,12,2026-01-01 08:40:00,L47351,L,298.2,308.1,9.900000000000034,1462,50.8,7777.494324835084,27,0,NoFailure,False
173,13,2026-01-01 08:40:00,M15032,M,298.1,308.0,9.899999999999977,1924,20.8,4190.800824084688,29,0,NoFailure,False
174,14,2026-01-01 08:40:00,M15033,M,298.2,308.0,9.800000000000011,1591,33.7,5614.727694324262,32,0,NoFailure,False
175,15,2026-01-01 08:40:00,L47354,L,298.2,308.1,9.900000000000034,1306,58.3,7973.341210859871,35,0,NoFailure,False
176,16,2026-01-01 08:40:00,L47355,L,298.2,308.1,9.900000000000034,1382,43.5,6295.437518528586,37,0,NoFailure,False
177,17,2026-01-01 08:40:00,L47356,L,298.2,308.1,9.900000000000034,1618,34.7,5879.4487632912505,39,0,NoFailure,False
178,18,2026-01-01 08:40:00,L47357,L,298.2,308.2,10.0,1988,21.4,4455.1134860067095,41,0,NoFailure,False
179,19,2026-01-01 08:40:00,L47358,L,298.2,308.2,10.0,1436,50.2,7548.953931261938,43,0,NoFailure,False
180,20,2026-01-01 08:40:00,L47359,L,298.2,308.3,10.100000000000023,1304,49.8,6800.41712166661,45,0,NoFailure,False
181,1,2026-01-01 08:45:00,L47360,L,298.2,308.3,10.100000000000023,1475,49.9,7707.635776194758,47,0,NoFailure,False
182,2,2026-01-01 08:45:00,H29595,H,298.2,308.3,10.100000000000023,1824,24.2,4622.413766785878,49,0,NoFailure,False
183,3,2026-01-01 08:45:00,M15042,M,298.1,308.2,10.099999999999966,1342,48.1,6759.681136925063,54,0,NoFailure,False
184,4,2026-01-01 08:45:00,L47363,L,298.1,308.2,10.099999999999966,1485,40.7,6329.209639554678,57,0,NoFailure,False
185,5,2026-01-01 08:45:00,L47364,L,298.2,308.2,10.0,1667,30.6,5341.775652604869,59,0,NoFailure,False
186,6,2026-01-01 08:45:00,L47365,L,298.2,308.2,10.0,1446,38.2,5784.426057495672,61,0,NoFailure,False
187,7,2026-01-01 08:45:00,L47366,L,298.1,308.3,10.199999999999989,1301,56.0,7629.462478997933,63,0,NoFailure,False
188,8,2026-01-01 08:45:00,L47367,L,298.2,308.4,10.199999999999989,1379,43.1,6224.008173561467,65,0,NoFailure,False
189,9,2026-01-01 08:45:00,L47368,L,298.3,308.5,10.199999999999989,1606,33.6,5650.845537865033,67,0,NoFailure,False
190,10,2026-01-01 08:45:00,M15049,M,298.3,308.4,10.099999999999966,1539,43.4,6994.504715805388,69,0,NoFailure,False
191,11,2026-01-01 08:45:00,L47370,L,298.2,308.4,10.199999999999989,1477,49.9,7718.086807755699,72,0,NoFailure,False
192,12,2026-01-01 08:45:00,L47371,L,298.2,308.4,10.199999999999989,1666,34.6,6036.423676215621,74,0,NoFailure,False
193,13,2026-01-01 08:45:00,H29606,H,298.2,308.4,10.199999999999989,1398,51.8,7583.42767464733,76,0,NoFailure,False
194,14,2026-01-01 08:45:00,H29607,H,298.2,308.4,10.199999999999989,1678,34.6,6079.903318541303,81,0,NoFailure,False
195,15,2026-01-01 08:45:00,M15054,M,298.2,308.5,10.300000000000011,2678,10.7,3000.702695051803,86,1,PWF,False
196,16,2026-01-01 08:45:00,L47375,L,298.3,308.5,10.199999999999989,1453,42.9,6527.569799702335,89,0,NoFailure,False
197,17,2026-01-01 08:45:00,H29610,H,298.3,308.6,10.300000000000011,1432,49.5,7422.955121901963,91,0,NoFailure,False
198,18,2026-01-01 08:45:00,M15057,M,298.4,308.6,10.200000000000045,1527,40.9,6540.199002169767,96,0,NoFailure,False
199,19,2026-01-01 08:45:00,L47378,L,298.4,308.7,10.300000000000011,1588,35.0,5820.32398955069,99,0,NoFailure,False
200,20,2026-01-01 08:45:00,L47379,L,298.4,308.6,10.200000000000045,1433,47.1,7067.986567972852,101,0,NoFailure,False
201,1,2026-01-01 08:50:00,L47380,L,298.4,308.6,10.200000000000045,1609,35.0,5897.293009563639,103,0,NoFailure,False
202,2,2026-01-01 08:50:00,L47381,L,298.3,308.5,10.199999999999989,1575,41.2,6795.264909714723,105,0,NoFailure,False
203,3,2026-01-01 08:50:00,M15062,M,298.4,308.5,10.100000000000023,1636,35.7,6116.178241714753,107,0,NoFailure,False
204,4,2026-01-01 08:50:00,L47383,L,298.4,308.5,10.100000000000023,1490,37.9,5913.6292913623065,110,0,NoFailure,False
205,5,2026-01-01 08:50:00,L47384,L,298.4,308.5,10.100000000000023,1741,32.8,5980.000672157147,112,0,NoFailure,False
206,6,2026-01-01 08:50:00,M15065,M,298.5,308.6,10.100000000000023,1344,53.0,7459.397596683605,114,0,NoFailure,False
207,7,2026-01-01 08:50:00,L47386,L,298.5,308.7,10.199999999999989,1609,35.3,5947.841235359898,117,0,NoFailure,False
208,8,2026-01-01 08:50:00,M15067,M,298.4,308.7,10.300000000000011,1421,60.7,9032.571061919718,119,1,PWF,False
209,9,2026-01-01 08:50:00,L47388,L,298.4,308.6,10.200000000000045,1591,36.7,6114.555085510398,122,0,NoFailure,False
210,10,2026-01-01 08:50:00,L47389,L,298.4,308.6,10.200000000000045,1477,44.0,6805.527445716449,124,0,NoFailure,False
211,11,2026-01-01 08:50:00,L47390,L,298.4,308.7,10.300000000000011,1523,36.1,5757.523552405431,126,0,NoFailure,False
